,Weather,datetime
278,none,2019-01-15
279,rain,2018-08-09
280,rain,2018-01-22
281,none,2017-12-04
282,none,2019-02-11
283,snow,2018-02-05
284,none,2018-03-05
285,none,2019-01-12
286,none,2019-04-17
287,none,2018-11-01
288,rain,2018-04-03
289,none,2017-11-06
290,none,2017-09-18
291,none,2017-12-22
292,none,2017-07-06
293,none,2019-02-15
294,none,2018-01-19
295,rain,2019-05-15
296,none,2019-03-18
297,none,2019-03-26
298,snow,2019-02-28
299,none,2019-05-09
300,none,2019-04-11
301,none,2018-06-26
302,none,2018-09-24
303,none,2018-06-29
304,none,2017-08-24
305,none,2018-11-23
306,none,2018-10-31
307,none,2018-03-14
308,rain,2017-12-16
309,none,2017-06-07
310,rain,2018-07-17
311,none,2018-04-12
312,none,2017-09-12
313,rain,2017-10-05
314,none,2018-12-04
315,rain,2018-10-16
316,none,2018-07-11
317,none,2017-10-02
318,none,2018-03-15
319,none,2017-08-10
320,rain,2019-05-07
321,none,2018-12-03
322,none,2018-07-31
323,rain,2018-11-16
324,none,2018-01-27
325,rain,2017-08-11
326,rain,2019-04-05
327,rain,2018-11-24
328,none,2018-08-30
329,none,2019-03-25
330,rain,2018-02-14
331,rain,2019-01-09
332,none,2018-05-24
333,rain,2018-03-22
334,none,2017-09-08
335,none,2019-02-25
336,none,2018-08-20
337,rain,2017-08-22
338,rain,2019-05-11
339,none,2019-04-10
340,none,2018-10-10
341,rain,2018-06-11
342,snow,2019-03-02
343,rain,2017-08-23
344,none,2019-01-11
345,rain,2017-12-11
346,none,2019-01-28
347,none,2018-12-17
348,none,2017-09-25
349,rain,2019-05-17
350,none,2018-03-31
351,none,2017-10-19
352,none,2018-10-18
353,rain,2018-02-16
354,rain,2018-07-26
355,none,2017-11-11
356,rain,2019-02-08
357,rain,2018-11-13
358,none,2019-04-29
359,none,2019-04-02
360,none,2017-09-29
361,none,2018-05-30
362,none,2017-06-13
363,rain,2017-06-20
364,rain,2018-10-09
365,none,2017-09-27
366,none,2018-10-26
367,rain,2017-11-16
368,none,2017-09-14
369,none,2018-06-09
370,rain,2018-04-04
371,none,2017-11-28
372,snow,2019-01-30
373,none,2017-09-28
374,rain,2017-12-05
375,snow,2019-01-18
376,none,2019-02-02
377,rain,2018-01-09
378,rain,2019-04-30
379,rain,2018-10-03
380,rain,2018-01-13
381,rain,2017-10-24
382,none,2018-11-29
383,rain,2018-11-02
384,rain,2018-05-15
385,rain,2019-05-20
386,rain,2018-12-20
387,none,2018-06-15
388,rain,2018-02-23
389,rain,2017-10-12
390,none,2018-01-05
391,none,2017-10-17
392,none,2019-02-26
393,none,2018-08-27
394,rain,2018-10-02
395,rain,2018-08-13
396,none,2017-12-20
397,none,2019-03-28
398,rain,2018-09-26
399,none,2018-04-09
400,rain,2019-04-12
401,none,2017-11-01
402,rain,2019-04-20
403,none,2018-05-01
404,rain,2019-05-06
405,none,2017-06-21
406,none,2019-02-01
407,none,2018-09-21
408,none,2017-10-13
409,rain,2017-11-22
410,none,2017-07-21
411,rain,2019-05-28
412,none,2019-04-01
413,none,2017-07-31
414,none,2017-10-23
415,rain,2019-04-09
416,none,2017-09-26
417,rain,2017-12-23
418,rain,2017-08-29
419,rain,2018-08-01
420,none,2018-01-10
421,none,2019-01-22
422,none,2018-01-31
423,none,2018-03-16
424,none,2018-02-03
425,rain,2018-07-27
426,rain,2017-08-04
427,none,2019-01-16
428,none,2019-05-01
429,none,2019-02-23
430,rain,2019-04-26
431,none,2018-12-06
432,rain,2017-10-11
433,rain,2017-08-12
434,rain,2019-05-25
435,none,2017-06-15
436,rain,2018-02-22
437,none,2017-07-18
438,none,2017-06-29
439,none,2019-01-07
440,rain,2017-07-14
441,none,2018-09-19
